match_id,player_id,raid_duration_sec,penetration_px,success,raid_points
M1,TeamA_P3,2.9,3.18,0,0
M1,TeamA_P3,2.9,4.6,0,0
M1,TeamA_P3,3.1,3.97,1,2
M1,TeamA_P3,4.8,4.16,0,0
M1,TeamA_P3,2.5,2.96,1,1
M1,TeamA_P3,3.6,1.05,1,1
M1,TeamA_P3,4.6,1.69,0,0
M1,TeamA_P3,5.9,3.55,0,0
M1,TeamA_P3,5.6,3.7,1,2
M1,TeamA_P3,2.5,2.56,0,0
M1,TeamA_P3,3.5,4.02,1,1
M1,TeamA_P3,5.8,4.26,1,2
M1,TeamA_P3,2.6,3.2,1,1
M1,TeamA_P3,3.6,2.85,1,2
M1,TeamA_P3,5.9,3.4,0,0
M1,TeamA_P3,3.5,4.84,0,0
M1,TeamA_P3,4.7,1.17,1,2
M1,TeamA_P3,6.2,3.53,0,0
M1,TeamA_P3,6.2,4.06,1,1
M2,TeamA_P3,4.8,3.93,1,1
M2,TeamA_P3,6.0,2.85,0,0
M2,TeamA_P3,6.3,4.27,0,0
M2,TeamA_P3,3.0,1.73,1,2
M2,TeamA_P3,4.0,4.69,1,1
M2,TeamA_P3,5.3,3.18,0,0
M2,TeamA_P3,5.2,1.76,1,1
M2,TeamA_P3,6.9,4.81,1,2
M2,TeamA_P3,6.1,1.08,1,1
M2,TeamA_P3,5.9,4.86,1,2
M2,TeamA_P3,5.0,4.85,0,0
M2,TeamA_P3,2.5,4.53,0,0
M2,TeamA_P3,3.4,1.16,1,1
M2,TeamA_P3,5.0,3.27,1,1
M3,TeamA_P3,7.4,4.11,1,1
M3,TeamA_P3,6.4,3.8,0,0
M3,TeamA_P3,6.0,3.01,0,0
M3,TeamA_P3,7.0,4.32,0,0
M3,TeamA_P3,6.4,2.0,1,1
M3,TeamA_P3,2.9,2.54,1,1
M3,TeamA_P3,3.1,2.5,1,2
M3,TeamA_P3,7.2,1.61,1,2
M3,TeamA_P3,5.7,3.13,0,0
M3,TeamA_P3,7.4,2.37,0,0
M3,TeamA_P3,6.5,4.26,0,0
M3,TeamA_P3,6.4,4.07,0,0
M3,TeamA_P3,5.2,3.23,1,2
M3,TeamA_P3,3.3,1.08,0,0
M3,TeamA_P3,2.7,3.67,0,0
M3,TeamA_P3,6.0,3.41,0,0
M3,TeamA_P3,6.6,4.87,0,0
M3,TeamA_P3,3.1,1.91,1,1
M3,TeamA_P3,7.3,4.37,1,1
M1,TeamA_P4,2.6,2.76,0,0
M1,TeamA_P4,3.9,1.32,1,1
M1,TeamA_P4,6.6,1.38,1,1
M1,TeamA_P4,3.2,3.19,1,1
M1,TeamA_P4,2.8,4.26,1,2
M1,TeamA_P4,5.7,3.5,1,1
M1,TeamA_P4,2.7,2.69,1,1
M1,TeamA_P4,6.2,1.81,0,0
M1,TeamA_P4,6.9,4.07,0,0
M1,TeamA_P4,4.6,2.23,1,1
M1,TeamA_P4,4.2,1.31,0,0
M1,TeamA_P4,6.9,1.79,1,1
M1,TeamA_P4,7.0,4.52,0,0
M1,TeamA_P4,4.1,1.61,1,2
M1,TeamA_P4,2.8,4.22,1,3
M1,TeamA_P4,4.8,3.8,0,0
M1,TeamA_P4,4.6,1.14,0,0
M1,TeamA_P4,6.5,2.77,1,1
M1,TeamA_P4,6.6,4.47,1,2
M2,TeamA_P4,4.0,4.59,1,1
M2,TeamA_P4,4.2,3.47,1,1
M2,TeamA_P4,4.0,3.83,1,1
M2,TeamA_P4,6.4,1.75,0,0
M2,TeamA_P4,5.8,3.7,0,0
M2,TeamA_P4,3.7,2.65,0,0
M2,TeamA_P4,7.0,2.73,0,0
M2,TeamA_P4,6.2,2.95,1,1
M2,TeamA_P4,6.5,1.83,0,0
M2,TeamA_P4,3.6,3.78,1,2
M2,TeamA_P4,3.7,4.76,0,0
M3,TeamA_P4,5.6,4.26,1,1
M3,TeamA_P4,6.9,4.1,1,1
M3,TeamA_P4,6.7,1.49,1,1
M3,TeamA_P4,4.8,2.15,0,0
M3,TeamA_P4,4.9,4.03,1,1
M3,TeamA_P4,4.2,2.18,1,2
M3,TeamA_P4,3.1,4.49,0,0
M3,TeamA_P4,6.2,3.85,1,3
M3,TeamA_P4,4.0,2.1,1,2
M3,TeamA_P4,5.1,3.34,1,3
M3,TeamA_P4,6.2,4.65,0,0
M3,TeamA_P4,3.6,4.44,0,0
M3,TeamA_P4,5.2,1.99,0,0
M3,TeamA_P4,3.7,2.51,1,2
M3,TeamA_P4,6.4,1.12,0,0
M3,TeamA_P4,3.4,1.74,0,0
M3,TeamA_P4,2.6,2.66,1,1
M3,TeamA_P4,7.1,1.09,1,3
M3,TeamA_P4,4.7,2.45,1,1
M3,TeamA_P4,5.8,3.23,0,0
M1,TeamA_P5,5.0,4.05,1,1
M1,TeamA_P5,7.1,2.38,1,2
M1,TeamA_P5,4.8,4.46,1,2
M1,TeamA_P5,3.2,2.16,1,3
M1,TeamA_P5,5.3,2.93,0,0
M1,TeamA_P5,5.4,4.07,0,0
M1,TeamA_P5,5.7,1.33,1,2
M1,TeamA_P5,4.9,2.43,0,0
M1,TeamA_P5,3.2,1.09,0,0
M1,TeamA_P5,3.3,1.39,0,0
M1,TeamA_P5,3.6,3.96,0,0
M1,TeamA_P5,3.0,3.4,1,1
M1,TeamA_P5,4.7,4.25,1,2
M1,TeamA_P5,2.5,3.59,0,0
M1,TeamA_P5,3.9,3.31,1,1
M1,TeamA_P5,5.2,1.61,1,1
M1,TeamA_P5,5.7,2.28,1,2
M2,TeamA_P5,7.2,1.68,0,0
M2,TeamA_P5,7.3,3.09,0,0
M2,TeamA_P5,6.2,3.85,1,2
M2,TeamA_P5,7.0,2.46,0,0
M2,TeamA_P5,3.3,1.28,1,1
M2,TeamA_P5,4.2,3.73,1,2
M2,TeamA_P5,4.2,3.34,0,0
M2,TeamA_P5,3.2,3.55,1,2
M2,TeamA_P5,6.2,3.79,1,1
M2,TeamA_P5,5.0,1.51,1,1
M2,TeamA_P5,6.4,3.81,1,1
M2,TeamA_P5,7.3,3.73,1,2
M2,TeamA_P5,3.7,2.14,0,0
M2,TeamA_P5,3.6,2.12,1,3
M2,TeamA_P5,5.0,4.04,0,0
M2,TeamA_P5,6.7,1.27,1,1
M2,TeamA_P5,4.7,4.41,1,1
M3,TeamA_P5,3.0,4.72,1,1
M3,TeamA_P5,2.6,2.0,0,0
M3,TeamA_P5,6.3,3.05,1,2
M3,TeamA_P5,7.2,2.02,1,1
M3,TeamA_P5,6.7,3.81,1,2
M3,TeamA_P5,6.6,3.24,1,3
M3,TeamA_P5,5.9,4.36,0,0
M3,TeamA_P5,4.0,4.0,1,1
M1,TeamA_P6,7.2,1.36,0,0
M1,TeamA_P6,3.9,2.51,1,1
M1,TeamA_P6,6.8,2.77,0,0
M1,TeamA_P6,2.8,1.94,0,0
M1,TeamA_P6,3.6,4.75,0,0
M1,TeamA_P6,2.6,4.42,1,2
M1,TeamA_P6,2.7,1.31,1,1
M1,TeamA_P6,4.0,4.4,0,0
M1,TeamA_P6,2.7,4.91,1,3
M1,TeamA_P6,5.0,2.71,1,1
