match_id,player_id,raid_duration_sec,penetration_px,success,raid_points
M2,R1,5.0,142,1,
M2,R1,3.1,166,1,
M2,R1,4.9,102,1,
M2,R1,3.6,159,1,
M2,R1,5.5,146,1,
M2,R1,4.5,107,1,
M2,R1,5.2,235,0,
M2,R1,6.2,124,1,
M2,R1,5.6,116,1,
M2,R1,3.6,100,1,
M2,R1,2.7,169,0,
M2,R1,4.1,220,1,
M2,R1,5.8,169,0,
M2,R1,7.5,250,1,
M2,R1,5.4,186,0,
M2,R1,7.8,234,1,
M2,R1,7.0,164,1,
M2,R1,7.8,198,1,
M2,R1,5.3,119,1,
M2,R1,7.8,100,1,
M2,R1,5.9,119,0,
M2,R1,6.4,131,1,
M2,R1,3.1,108,1,
M2,R1,5.1,229,0,
M7,R1,7.8,159,1,
M7,R1,5.4,142,0,
M7,R1,6.0,144,0,
M7,R1,6.7,105,0,
M7,R1,4.6,225,1,
M7,R1,2.6,215,0,
M7,R1,2.1,225,0,
M7,R1,7.2,226,0,
M7,R1,4.2,125,0,
M7,R1,3.7,155,0,
M7,R1,7.0,211,0,
M7,R1,7.0,178,1,
M7,R1,8.0,110,1,
M6,R1,5.5,248,0,
M6,R1,4.9,196,1,
M6,R1,4.3,220,1,
M6,R1,6.7,241,1,
M6,R1,7.7,195,1,
M6,R1,3.5,121,0,
M6,R1,6.4,155,1,
M6,R1,4.2,205,1,
M8,R1,7.5,216,0,
M8,R1,2.4,193,0,
M8,R1,7.7,144,1,
M8,R1,2.9,159,0,
M8,R1,3.7,181,0,
M8,R1,5.9,169,1,
M8,R1,2.6,246,0,
M8,R1,4.3,194,0,
M8,R1,5.2,106,0,
M8,R1,7.5,176,1,
M8,R1,7.2,143,0,
M8,R1,3.2,222,1,
M8,R1,2.4,121,0,
M8,R1,5.5,209,0,
M8,R1,2.8,144,0,
M8,R1,4.7,165,0,
M8,R1,2.5,156,0,
M8,R1,7.5,212,0,
M8,R1,7.0,149,0,
M8,R1,7.1,210,1,
M8,R1,3.8,225,1,
M8,R1,7.1,107,1,
M1,R1,6.7,210,0,
M1,R1,6.5,134,1,
M1,R1,2.4,117,1,
M1,R1,2.7,226,0,
M1,R1,5.0,112,0,
M1,R1,3.7,163,0,
M1,R1,5.8,209,1,
M1,R1,2.1,122,0,
M1,R1,4.6,182,0,
M1,R1,5.4,176,1,
M1,R1,5.8,200,0,
M1,R1,5.5,146,0,
M1,R1,3.9,142,0,
M1,R1,4.4,135,0,
M1,R1,3.5,150,1,
M4,R1,2.7,151,1,
M4,R1,3.5,102,0,
M4,R1,6.2,217,0,
M4,R1,3.0,185,1,
M4,R1,6.4,199,1,
M4,R1,2.7,178,1,
M4,R1,7.6,226,1,
M4,R1,4.6,171,1,
M4,R1,2.4,207,1,
M4,R1,7.3,246,1,
M4,R1,6.7,166,0,
M4,R1,6.9,110,1,
M4,R1,3.4,106,1,
M4,R1,2.6,150,0,
M4,R1,2.3,215,0,
M4,R1,6.8,118,1,
M4,R1,5.9,108,1,
M4,R1,7.5,133,0,
M4,R1,7.0,196,1,
M4,R1,3.5,108,1,
M4,R1,6.6,231,1,
M4,R1,6.1,199,1,
M4,R1,5.4,199,1,
M4,R1,6.0,119,0,
M4,R1,4.3,154,1,
M4,R2,6.3,193,0,
M4,R2,5.6,225,1,
M4,R2,7.2,222,1,
M4,R2,7.5,137,1,
M4,R2,6.7,198,0,
M4,R2,6.2,173,0,
M4,R2,4.0,201,0,
M4,R2,3.0,181,0,
M4,R2,8.0,167,0,
M4,R2,3.8,207,0,
M4,R2,6.4,147,0,
M4,R2,6.2,153,0,
M4,R2,4.7,154,1,
M4,R2,6.6,103,0,
