match_id,player_id,raid_duration_sec,penetration_px,success,raid_points
M13,R1,16.3,244,0,0
M13,R1,5.1,201,0,0
M13,R1,23.4,240,0,0
M13,R1,24.7,238,1,1
M13,R1,5.1,131,0,0
M13,R1,11.8,145,1,1
M13,R1,23.1,184,0,0
M13,R1,22.6,186,0,0
M13,R1,6.8,250,0,0
M13,R1,13.8,249,0,0
M13,R1,15.0,133,1,1
M13,R1,23.9,221,0,0
M13,R1,12.0,201,1,1
M13,R1,22.4,244,0,0
M13,R1,22.7,127,1,2
M13,R1,20.0,116,0,0
M13,R1,24.1,188,1,1
M13,R1,22.5,178,1,1
M13,R1,5.9,221,1,1
M13,R1,14.3,170,0,0
M13,R1,19.6,127,0,0
M13,R1,21.0,171,0,0
M13,R1,7.2,148,0,0
M13,R1,23.7,116,0,0
M13,R1,14.0,237,0,0
M13,R1,15.3,119,0,0
M13,R1,7.0,102,0,0
M13,R1,23.7,154,0,0
M13,R1,19.3,155,0,0
M13,R1,10.4,113,0,0
M13,R1,15.7,229,0,0
M13,R1,5.9,131,0,0
M13,R1,7.4,172,1,1
M13,R1,13.0,100,1,1
M13,R1,22.1,186,0,0
M13,R1,8.6,154,1,1
M13,R1,9.5,129,1,1
M13,R1,5.5,198,0,0
M4,R1,10.3,102,1,1
M4,R1,19.2,223,0,0
M4,R1,23.9,162,1,3
M4,R1,6.9,207,0,0
M4,R1,19.1,114,1,1
M4,R1,8.1,117,0,0
M4,R1,24.0,168,0,0
M4,R1,13.5,120,0,0
M4,R1,18.2,207,0,0
M4,R1,9.1,221,0,0
M4,R1,17.9,230,1,1
M4,R1,19.5,187,1,1
M4,R1,19.0,206,0,0
M4,R1,9.2,163,0,0
M4,R1,23.5,126,0,0
M4,R1,15.6,213,0,0
M4,R1,10.8,141,0,0
M4,R1,10.8,208,1,1
M4,R1,21.7,128,0,0
M4,R1,6.0,207,0,0
M4,R1,16.4,205,0,0
M4,R1,13.3,202,1,1
M4,R1,20.5,107,1,5
M4,R1,5.8,234,1,1
M4,R1,18.5,134,0,0
M4,R1,24.0,172,0,0
M4,R1,13.5,230,1,2
M2,R1,11.2,146,0,0
